,"begreppTerm
","synonym
","utländskTerm          
",utländskDef,begreppID,kontextBeskriv,"beställare
",bestNamn,bestEmail,bestTele,"bestDate
","definition
",beskrivning,"status
","versionsNR
","källa
",anmärkning,"kommentarHandlaggning
",Unnamed: 18,Unnamed: 19
361,öppenvårdsbesök,,,,,,,,,,,öppenvårdskontakt (30.2.2.1.1.1) som innebär fysiskt möte mellan patient (5.2.1) och hälso- och sjukvårdspersonal (5.2.3.3),,Klar,2019-12-10,FVM byggt på Socialstyrelsens termbank. ,"Anmärkning 1     Eftersom termen ""öppenvårdskontakt"" införts i FVM används denna i stället för den definitionsliknande term som finns i termbanken. Se 5.1.1!",,Från Termforum,30.2.2.1.1.1.2
362,hembesök,,,,,,,,,,,[hälso- och sjukvård] öppenvårdsbesök (5.5.2.1) i patients (1.1.1) bostad eller motsvarande,,Klar,2019-12-10,Socialstyrelsens termbank ,"Anmärkning 1     (Ur termbankens termpost) Skilj från hemsjukvårdsbesök som hänförs till hemsjukvård. I den nationella statistiken räknas öppenvårdsbesök, t.ex. vid akut sjukdom hos patient som erhåller hemsjukvård men där orsaken inte omfattas av vård- och omsorgsplanen, som hembesök.",,Från Termforum,30.2.2.1.1.1.3
363,akut vårdkontakt,,,,,,,,,,,vårdkontakt (10.2.2.1.1) där patientens (5.2.1) hälsotillstånd (6.4) kräver omedelbar bedömning (27.2.7.2.2),,Klar,2019-12-10,Socialstyrelsens termbank reviderad ,Anmärkning 1     Alla vårdkontakter kan vara akuta eller inte akuta. Eftersom detta kännetecken kan ärvas av alla underordnade begrepp sätts relationen till den överordnade vårdkontakten och inte en vårdkontakt i öppen vård. I Socialstyrelsens termbank pekas akut vårdtillfälle och akut öppenvårdskontakt ut var för sig.,,,
364,planerat öppenvårdsbesök,,,,,,,,,,,öppenvårdsbesök (30.2.2.1.1.1.2) för vilket tid har avtalats senast dagen före besöket,,Klar,2019-12-10,Socialstyrelsens termbank kompletterad ,,,,
365,oplanerat öppenvårdsbesök,,,,,,,,,,,öppenvårdsbesök (30.2.2.1.1.1.2) för vilket tid inte har avtalats senast dagen före besöket,,Klar,2019-12-10,Socialstyrelsens termbank kompletterad ,,,,
366,hemsjukvårdsbesök,,,,,,,,,,,vårdkontakt (10.2.2.1.1) inom hemsjukvård (29.4) som innebär personligt möte mellan patient (5.2.1) och hälso- och sjukvårdspersonal (5.2.3.3),,Klar,2019-12-10,Socialstyrelsens termbank ,,,,
367,distanskontakt,,,,,,,,,,,öppenvårdskontakt (30.2.2.1.1.1) där patient (5.2.1) och hälso- och sjukvårdspersonal (5.2.3.3) är rumsligt åtskilda,,Klar,2019-12-10,FVM byggt på Socialstyrelsens termbank,"Anmärkning 1     Eftersom termen ""öppenvårdskontakt"" införts i FVM används denna i stället för den definitionsliknande term som finns i termbanken. Se 5.1.1. Dessutom nämns patient först och hälso- och sjukvårdspersonal sist för att ordningsföljden ska vara densamma som i definitionen av öppenvårdsbesök.",,,
368,direkt distanskontakt,,,,,,,,,,,distanskontakt (30.2.2.2.1) med synkron kommunikation mellan patient (5.2.1) och hälso- och sjukvårdspersonal (5.2.3.3),,Klar,2019-12-10,FVM ,"Anmärkning 1     Begreppet har inte definierats av termbanken. I Contsys talas om direkt hälso- och sjukvårdsaktivitet, ett begrepp som dock inte definieras men refereras i definitionen av utförarplats. En aktivitet kan vara direkt eller indirekt såsom implicit framgår i Contsys, men även en kontakt kan vara direkt (synkron) eller indirekt(asynkron). Se inledningen till avsnitt 7! En direkt distanskontakt kräver telekommunikation/digital kommunikation. 

Exempel 1     Telefonförfrågning, mobiltelefonkonsultation (t.ex. kry.se), klinisk videokonferens där patienten deltar, telefonmöte/videomöte för samordnad vårdplanering.",,,
369,indirekt distanskontakt,,,,,,,,,,,"distanskontakt (30.2.2.2.1) med asynkron kommunikation mellan patient (5.2.1) och hälso- och sjukvårdspersonal (5.2.3.3)

Förklaring     Ordledet distanskontakt har behållits för att begreppet ska stämma med Socialstyrelsens begreppsmodell. Med distans menas i detta fall att patienten befinnar sig på distans, antingen han är kommunikationspartner eller inte. ",,Klar,2019-12-10,FVM ,"Anmärkning 1     Med asynkron kommunikation menas att ena parten skickar meddelande till den andra utan att förvänta omedelbart svar. Ena parten kan också motta ett meddelande och beslutar själv om medelandet ska besvaras. Kommunikationen avser alltid en individuell patient, men denna patient kan stå utanför kommunikationen. 

Exempel 1     Brevväxla med en patient, kommunicera via 1177 eller e-post. Motta och läsa provsvar och utlåtande avseende en viss patient, med eller utan att meddela svaret till patienten. Utfärda intyg, föra journal vid annat tillfälle än i direkt anslutning till besök.",,,
370,aktivitetsperiod,,,,,,,,,,,tidsperiod under vilken hälso- och sjukvårdsaktiviteter (7.2) med samma aktivitetsmål (40.4) utförs för en patient (2.1.1),,Klar,2019-12-10,FVM utgående från 3R Contsys ,"Anmärkning 1     Begreppet avser en period under vilken en patient är föremål för hälso- och sjukvårdsaktiviteter riktade mot samma hälsotillstånd. Perioden kan vara del av ett vårdtillfälle, inkludera ett vårdtillfälle, omfatta enbart öppen vård eller sträcka sig över såväl öppen som sluten vård. Den är alltid del av en process som startat inom ramen för ett vårdmandat. 

Exempel 1     En serie blodtrycksmätningar. Cellgiftbehandling, strålbehandling. Plasmaferes under sluten vård (utförs upprepade gånger).",,,
371,ambulanssjukvård,,,,,,,,,,,hälso- och sjukvård (3.1.1) som utförs av hälso- och sjukvårdspersonal (5.2.3.3) i eller i anslutning till ambulans,,Klar,2019-12-10,Socialstyrelsens termbank ,,,,
372,ambulansinsats,,,,,,,,,,,öppenvårdskontakt (30.2.2.1.1.1) som tillhör ambulanssjukvården (30.2.2.6),,Klar,2019-12-10,FVM,Anmärkning 1     Av den definition som Socialstyrelsen ger till ambulanssjukvård (30.2.2.6) framgår att detta är en särskild verksamhet som bedrivs av ambulanspersonalen såväl utanför som i ambulansen. En ambulansinsats börjar därför när ambulansen larmas ut eller avgår till upphämtningsplatsen och avslutas när antingen personalen lämnar den vårdsökande efter rådgivning eller lastar ur den värdsökande vid vårdenhet.,,,
373,ambulansinsats,,,,,,,,,,,öppenvårdskontakt (30.2.2.1.1.1) som tillhör ambulanssjukvården (30.2.2.6),,Klar,,FVM,"Anmärkning 1     
Av den definition som Socialstyrelsen ger till ambulanssjukvård (30.2.2.6) framgår att detta är en särskild verksamhet som bedrivs av ambulanspersonalen såväl utanför som i ambulansen. En ambulansinsats börjar därför när ambulansen larmas ut eller avgår till upphämtningsplatsen och avslutas när antingen personalen lämnar den vårdsökande efter rådgivning eller lastar ur den värdsökande vid vårdenhet.",,,
374,vårdtillfälle,,,,,,,,,,,vårdkontakt (10.2.2.1.1) i sluten vård (29.5),,Klar,2019-12-10,Socialstyrelsens termbank ,"Anmärkning 1     Vårdtillfälle är en del av en process. I Contsys intresserar man sig bara för processen och talar om perioder, t.ex.aktivitetsperiod, vårdkontaktperiod, klinisk processperiod, vårduppdragsperiod, vilka alla är definierade, men ingen av dem är kopplade till begreppet sluten vård. Sluten vård förekommer inte alls i Contsys men är ett lagligt definierat begrepp i Sverige (hälso- och sjukvårdslagen 2 kap, 4 §, patientlagen 3 kap. 2 b §), varför förhållanden kopplade till sluten vård måste analyseras.",,,
375,oplanerat vårdtillfälle,,,,,,,,,,,vårdtillfälle (30.2.4.1) för vilket tid inte har avtalats,,Klar,2019-12-10,Socialstyrelsens termbank,Anmärkning 1     Avser vårdtillfälle som inleds med akut inläggning.,,,
376,planerat vårdtillfälle,,,,,,,,,,,vårdtillfälle (30.2.4.1) för vilket tid har avtalats,,Klar,2019-12-10,Socialstyrelsens termbank,Anmärkning 1     Avser vårdtillfälle där patienten lagts in från väntelista.,,,
377,vårdansvar,,,,,,,,,,,uppdrag att omhänderta en patient (5.2.1) för hälso- och sjukvård (3.1.1) med befogenhet att utnyttja tillgängliga behövliga resurser (3.4.1) samt skyddapatienten (5.2.1) mot vårdskador (28.2.4.3.2),,Klar,2019-12-10,FVM,Anmärkning 1     Vårdansvar refereras bland annat i Socialstyrelsens definition av remiss. Det följer mandatet att vårda patienten. Begreppet tillförs i VGR FVM modell av detta skäl.,,,
378,vårdrelation,,,,,,,,,,,relation mellan patient (5.2.1) och den hälso- och sjukvårdspersonal (5.2.3.3) som deltar i vården av patienten (5.2.1),,Klar,2019-12-10,FVM,Anmärkning 1     Vårdrelation är en förutsättning för att hälso- och sjukvårdspersonal ska få ta del av patientjournalen och är en förutsättning för vårdmandat.,,,
379,läkemedelsövertag,,,,,,,,,,,"övertagande av ansvar för läkemedelshantering gällande en patient (5.2.1)

Förklaring     Läkaren bedömer att det föreligger risk för osäker läkemedelshantering. Patienten sköter inte sin medicinering. Läkaren ska i samråd besluta om att ansvar för läkemedelshantering ska övergå till kommunal hälso- och sjukvård. ",,Klar,2019-12-10,FVM,Exempel 1     Exempel på användning Mölndal: Läkare ansvarar för att ta beslut om läkemedelsövertag tillsammans med den enskilde innan remiss för läkemedelsövertag skickas till sjuksköterska inom kommunal hälso- och sjukvård Exempel 2 Sjuksköterskan ansvarar för att läkemedelsövertag dokumenteras i patientens elektroniska journal och att vårdplan för läkemedelshantering upprättas. Exempel 3. Läkemedelsövertag kan ske helt eller delvis.,,,
380,mandat att företräda patient,,,,,,,,,,,mandat (23.8.2) antingen utdelat av patient (5.2.1) eller fastställt genom behörighet enligt lag (11.2.9) som tilldelas företrädare (5.2.4.3) för patient (1.1.1) att föra dennes talan,,Klar,2019-12-10,FVM ,Anmärkning 1     Om en företrädare ska kunna företräda en patient måste ett mandat finnas. Detta uppstår om företrädaren får sitt uppdrag direkt av patienten eller genom ett myndighetsbeslut enligt lag.,,,
381,samtyckesbeslut,,,,,,,,,,,tillfrågad persons (3.3.4) beslut om att lämna eller inte lämna samtycke (11.2.6),,Klar,2019-12-10,Socialstyrelsens termbank ,,,,
382,"implicit samtycke
",passivt samtycke,,,,,,,,,,samtycke (11.2.6) som patienten (5.2.1) eller företrädare (5.2.4.3) inte kunnat ge men som förutsätts av omständigheterna,,Klar,2019-12-10,FVM ,"Förklaring     Samtycke kan inte alltid lämnas av patienten eller företrädare, t.ex. om patienten är medvetslös eller på annat sätt inte kan kommunicera eller förstå den givna informationen. Om de kliniska omständigheterna gör det angeläget att hälso- och sjukvårdspersonal utför hälso- och sjukvårdsaktivitet på patienten (t.ex. livräddande behandling) eller tar del av journalhandling (viktig information i sammanhanget) kan samtycke anses implicit, eftersom man får förutsätta att patienten skulle givit samtycke om hen kunde. Sådant samtycke kan också kallas passivt.",,,
383,skriftlig begäran om övertag av vårdansvar,,,,,,,,,,,remiss (11.3.3) som begär övertag av vårdansvar (31.2.2.2),,Klar,2019-12-10,FVM ,,,,
384,skriftlig beställning av tjänst,,,,,,,,,,,remiss (11.3.3) som utgör beställning av hälso- och sjukvårdsaktivitet (7.2),,Klar,2019-12-10,FVM ,,,,
385,orsak till vårdbegäran,,,,,,,,,,,förhållande i hälsotillståndet (6.4) som föranleder vårdbegäran (11.3),,Klar,2019-12-10,FVM ,Anmärkning 1     Vårdbegäran görs alltid av något skäl som patienten eller företrädare anger i en vårdbegäran för egen räkning eller som hälso- och sjukvårdspersonal anger i en remiss. Orsaken/orsakerna till vårdbegäran kan var och en kodas enligt Snomed CT eller sammanfattas i diagnosform för att kunna kodas i t.ex. ICF eller ICD 10.,,,
386,beställningsunderlag,,,,,,,,,,,information (3.9.5) som läggs till grund för utfärdande av remiss (11.3.3),,Klar,2019-12-10,FVM ,Förklaring     Samlad information inför remissutfärdandet. I beställningsunderlaget ingår begreppet orsak till vårdbegäran,,,
387,vidaresändning,,,,,,,,,,,"beslut att vårdbegäran (11.3) ska handläggas vid annan vårdenhet (25.2.3.1.2) än den mottagande

Alternativ definition  
(i samband med avslag av vårdbegäran eller vid avslut av vårdåtagande:) anvisning till annan vårdenhet eller till egenvård (Socialstyrelsens termbank) 
",,Klar,2019-12-10,FVM,"Anmärkning 1     Socialstyrelsen använder termen ""avslag"" av vårdbegäran, något som undvikits i SAMBA och senare i NI. En vårdbegäran ska antingen accepteras (vårdåtagande görs) eller hänvisas. I sistnämnda fall ska två eller tre åtgärder vidtas: vårdbegäran sänds vidare till annan vårdenhet, patienten ska meddelas om vad som gjorts, och om det rör sig om en remiss ska inremitterande meddelas vart remissen sänts. 

Anmärkning 2     I Socialstyrelsens definition räknas det som hänvisning när egenvård ordineras. Bedömningen att patienten själv ska ta hand om sitt behov av vård är en professionell handling, alltså en hälso- och sjukvårdstjänst. Den ordinationen är avslutning på en vårdprocess som påbörjas med patientens vårdbegäran för egen räkning. Ordination av egenvård föregås alltså av vårdåtagande och är ingen hänvisning.",,,
388,remissmeddelande till patient,,,,,,,,,,,besked till patient (5.2.1) att vårdbegäran (11.3) sänts till annan vårdenhet (25.2.3.1.2),,Klar,2019-12-10,FVM,Anmärkning 1     Patienten ska alltid meddelas om vårdbegäran skickas vidare till annan vårdenhet oberoende av orsak. Det kan bero på vårdgaranti eller att den egna vårdenhetens vårdutbud inte är adekvat i förhållande till det som vårdbegäran avser. Om vårdbegäran är för egen räkning underrättas endast patienten; någon inremitterande hälso- och sjukvårdspersonal finns inte.,,,
389,meddelande till inremitterande,,,,,,,,,,,besked till hälso- och sjukvårdspersonal (5.2.3.3) som utfärdat remiss (11.3.3) att den vidaresänts till annan vårdenhet (25.2.3.1.2),,Klar,2019-12-10,FVM,Anmärkning 1     När en vårdenhet inte har rätt vårdutbud för att handlägga en inkommen remiss och den därför vidaresänds till annan vårdenhet meddelas inremitterande detta.,,,
390,vidaresändningsningsmissiv,,,,,,,,,,,förklaring till vidaresändning (31.3.5) som bifogas vårdbegäran (11.3) när den sänds till annan vårdenhet (25.2.3.1.2),,Klar,2019-12-10,FVM,"Anmärkning 1     När en vårdbegäran vidaresänds ska ett förklarande följebrev bifogas. Termen är vald på bas av betydelsen av missiv. Definition saknas, men Wikipedia skriver: Ett missiv är ett följebrev till en officiell skrivelse. Ursprungligen användes det för dokumentet som förordnade en prästtjänst. Sedan medeltiden har missiv också använts vid kommunikation mellan myndigheter, medan den i modern tid även används som följebrev till mer halvofficiella skrivelser till privatpersoner, som tex en förklarande text till en undersökning. Här redogörs i det fallet bl.a. för undersökningens syfte och varför en person fått exempelvis en enkät i sin hand.",,,
391,vårdbegäran för egen räkning,,,,,,,,,,,vårdbegäran (11.3) som avser den egna personen (3.3.4),,Klar,2019-12-10,FVM ,"Anmärkning 1     Det finns ingen officiell källa till definition av detta begrepp, men i NI förklaras det med att det är en begäran som en person gör för att själv få hälso- och sjukvård. I Contsys finns i stället begreppet ""vårdbegäran för första vårdkontakt"", vilket i praktiken är när en person ber att få träffa hälso- och sjukvårdspersonal första gången. Det är osannolikt att hälso- och sjukvårdspersonal utfärdar sådan vårdbegäran eftersom kontakt med patienten i så fall redan startat processen och det inte rör sig om en första vårdkontakt. Men patienten ska också ha möjlighet att under pågående process ta initiativ till en ny vårdkontakt, som då inte är en förstakontakt men däremot görs som vårdbegäran för egen räkning. 

Anmärkning 2     Vårdbegäran för egen räkning utfärdas av patienten själv eller patientens representant.",,,
392,egenremiss,,,,,,,,,,,skriftlig vårdbegäran för egen räkning (31.3.6),,Klar,2019-12-10,FVM,"Anmärkning 1     I 3R Contsys-modellen liksom i NI avråds från termen ""egenremiss"". I stället ska endast begreppet ""vårdbegäran för egen räkning"" användas. Eftersom en sådan kan vara muntlig eller skriftlig och uttrycket ""egenremiss"" är djupt rotat i svensk hälso- och sjukvård kan begreppet inte förnekas, och då bör det inkluderas i begreppssystemet. I ett informationssystem behöver begreppet representeras så att en patient kan fylla i en elektronisk blankett för egenremiss.",,,
393,förfrågan,,,,,,,,,,,informell vårdbegäran (11.3) där hälso- och sjukvårdspersonal (5.2.3.3) ber om råd eller hjälp avseende en patient (5.2.1) utan att kontakten formaliseras som remiss (11.3.3),,Klar,2019-12-10,FVM ,"Anmärkning 1   Många gånger händer det att en hälso- och sjukvårdspersonal (oftast läkare) rådfrågar en kollega om en viss patient. Detta journalförs nästan aldrig. En konsultläkare tar emot telefonsamtal från kollegor som ställer frågor och ber om råd, något som ofta inte heller dokumenteras. När nu en ny vårdinformationsmiljö sätts upp är det angeläget att denna typ av kontakter dokumenteras. Tekniken får utvecklas, men det kräver att fenomenet erkänns, och därför definieras detta begrepp. ",,,
394,muntlig begäran om övertag av vårdansvar,,,,,,,,,,,förfrågan (31.4) ) som begär övertag av vårdansvar (31.2.2.2),,Klar,2019-12-10,FVM ,,,,
395,muntlig beställning av tjänst,,,,,,,,,,,förfrågan (31.4) som utgör beställning av hälso- och sjukvårdsaktivitet (7.2),,Klar,2019-12-10,FVM,,,,
396,autentisering,,,,,,,,,,,kontroll av uppgiven identitet,,Klar,2019-12-10,Socialstyrelsens termbank ,,,,
397,behörighet,,,,,,,,,,,"rättighet att ha åtkomst till viss information (3.9.5) eller vissa lokaler, eller till att utföra vissa aktiviteter (23.6.6)

Alternativ definition     
rättighet att ha åtkomst till t.ex. viss information eller vissa lokaler, eller till att utföra vissa åtgärder (Rikstermbanken/TNC, original)",,Klar,2019-12-10,"Rikstermbanken/TNC, reviderad ","Anmärkning 1     TNC:s definition har ändrats på följande punkter: 
1) t.ex. har tagits bort. Om frasen används finns en rad rättigheter som behörigheten också avser men om vilka vi inte vet något.
2) ordet åtgärd har bytts mot aktivitet som är rotbegrepp i FVM begreppsmodell (hämtat från Contsys). ",,,
398,dokumentering,,,,,,,,,,,hälso- och sjukvårdsaktivitet (7.2) där patientjournal (12.2.1) skapas eller underhålls,,Klar,2019-12-10,3R Contsys reviderad ,"Anmärkning 1     Termen ""indirekt hälso- och sjukvårdsaktivitet"" finns inte i FVM begreppssystem eftersom ""indirekt"" eller ""direkt"" framgår av kontakttypen när aktiviteten utförs. Det är alltid hälso- och sjukvårdspersonal som skriver i patientjournal och aktiviteten att föra journal är därför alltid en hälso- och sjukvårdstjänst. 

Anmärkning  2     Önskan att använda substantiv som termer för begreppen gör att ordet ""dokumentering"" (finns i SAOL) valts i stället för ""dokumentera"".",,,
399,hälsoundervisningsmaterial,,,,,,,,,,,individuellt anpassad information (.2) sammanställd åt patient (5.2.1) av hälso- och sjukvårdspersonal (5.2.3.3) i syfte att stöda patientens (5.2.1) egenvård (7.2.4) och hälsofrämjande arbete,,Klar,2019-12-10,FVM,,,,
400,hälsokonto,,,,,,,,,,,lagringsplats för personlig journal (12.2.2) och annan dokumentation (23.9.5.1) som disponeras av patienten (5.2.1),,Klar,2019-12-10,FVM,Anmärkning 1     Se kommentarer under personlig journal (12.2.2.2),,,
401,patientportal,,,,,,,,,,,öppet gränssnitt där patienten (5.2.1) eller företrädare (5.2.4.3) med autentisering (31.5) och behörighet (31.6) har tillgång till ett urval av dokumentation (23.9.5.1) i hälso- och sjukvårdens (3.1.1) informationssystem,,Klar,2019-12-10,FVM ,Anmärkning 1     Patientportal är en allmän beteckning för patientens ingång till invånarens e-hälsotjänster.,,,
402,vårdtestamente,,,,,,,,,,,patientens (5.2.1) dokumenterade vilja avseende hälso- och sjukvårdstjänster (8.2.6) som ska avstås eller särskilt önskas i livets slutskede,,Klar,2019-12-10,FVM ,Anmärkning 1     Vårdtestamentet ska införas i patientjournalen. Det är patientens möjlighet att föreskriva vilka aktiviteter som ska avstås i livets slutskede såsom respiratorbehandling och hjärt-lungräddning liksom om särskild behandling önskas för t.ex. smärt- och ångestlindring.,,,
403,hälsokalender,,,,,,,,,,,"kalenderfunktion som underhålls av hälso- och sjukvårdsorganisation (5.2.3.1) och betjänar patient (5.26.1) med information (5.2) om pågående ärenden, bokade vårdkontakter (10.2.2.1.1) samt påminnelse (32.2.3.4.1) avseende hälsan (26.1)",,Klar,2019-12-10,FVM,Anmärkning 1     Hälsokalender är ett nytt begrepp som innefattar patientens egen vårdadministration.,,,
404,hälsodeklaration,,,,,,,,,,,underlag för person (3.3.4) att beskriva sitt hälsotillstånd (6.4),,Klar,2019-12-10,FVM,,,,
405,patientgenererade hälsodata,,,,,,,,,,,"hälsojournal (12.2) som har skapats eller samlats in av patienten (5.2.1), närstående (5.6.4) eller annan vårdare (5.2.4.1) från patient (5.2.1) för att beskriva patientens (5.2.1) hälsotillstånd (6.4)",,Klar,2019-12-10,FVM ,"Anmärkning 1     Detta är sådan information som samman ställs av patienten själv eller någon i närheten. Den samlas i den personliga journalen, och uppgifterna kan valideras för att införas i patientjournalen.",,,
406,bedömningsinstrument,,,,,,,,,,,formulär med i förväg fastställda frågor och svarsalternativ i form av numerär eller verbal skala,,Klar,2019-12-10,FVM,,,,
407,förberedelseinformation,,,,,,,,,,,information (3.9.5) och instruktion till patient (5.2.1) om hälso- och sjukvårdsaktivitet (7.2) och vårdkontakt (10.2.2.1.1),,Klar,2019-12-10,FVM,"Förklaring     Inför en operation kan patienten behöva såväl information om ingreppet som instruktion om praktiska åtgärder före ingreppet. Det kan också behövas förhållningsregler på en vårdavdelning eller inför ett öppenvårdsbesök (t.ex. provtagning före, komma 15 minuter före besökstid).",,,
408,hälsomonitoreringsdata,,,,,,,,,,,data (3.9.1) från övervakningssystem för att studera förändringar i en patients (5.2.1) hälsotillstånd (6.4) över tid som kan visas synkront och lagras,,Klar,2019-12-10,FVM,,,,
409,notifikation,,,,,,,,,,,avisering av uppmärksamhetsinformation (32.2.3.4.3),,Klar,2019-12-10,FVM ,Anmärkning 1     Notifikation är en typ av avisering när information ska komma någon till del.,,,
410,påminnelse,,,,,,,,,,,[hälso-och sjukvård]notifikation (32.2.3.4) till hälso- och sjukvårdspersonal (5.2.3.3) eller patient (5.2.1) att viss hälso- och sjukvårdsaktivitet (7.2) ska utföras,,Klar,2019-12-10,FVM ,"Anmärkning 1     Påminnelse ska bl.a. göras om behovet att utfärda radiologisk remiss för kontrollundersökning, eftersom en radiologisk avdelning har rätt att vägra ta emot remisser för undersökning långt fram i tiden. För närvarande gäller i Västra Götalandsregionen 13 månader, men principen kan gälla vilken verksamhet som helst och varje tidsintervall som begränsar möjligheten att utfärda remiss. Påminnelse kan självklart användas för varje aktivitet som inte kan sättas i verket genast utan ska initieras vid ett tillfälle framåt i tiden. 

Anmärkning 2     För patienten kan en påminnelse avse kommande kontakt med hälso- och sjukvården eller att viss egenvård ska genomföras.",,,
411,larm,,,,,,,,,,,notifikation (32.2.3.4) som förenas med särskild signal,,Klar,2019-12-10,FVM ,"Förklaring     En notifikation är varje avisering till hälso- och sjukvårdspersonal att information behöver observeras och bli föremål för beslut om eventuell åtgärd. Larm är en form av notifikation som påkallar extra uppmärksamhet. 

Anmärkning 1     Endast vissa typer av larm ska kommuniceras till Lösningen. Se exemplen! 

Exempel 1     Maskinlarm: Medicinteknisk utrustning som larmar för att något är trasigt i utrustningen.Ska kommuniceras till Lösningen om en patient är ansluten till utrustningen. Övervakningslarm: Medicinteknisk utrustning som larmar för att inställda larmgränser passeras på en tillkopplad patient. Ska alltid kommuniceras till Lösningen. Personallarm: Grupp av människor som samtidigt skall larmas till en viss typ av händelse, exempelvis, traumalarm, Stroke larm etc. Ska kommuniceras till Lösningen om larmet inkluderar känd patient. Patientlarm: Patient som vill tillkalla sig uppmärksamhet på enheten. Denna typ av larm består normalt av ringsignal. Den ska kunna kommuniceras till Lösningen (konfigurerbart) för att möjliggöra mätning av tid från signal till svar från personalen och dokumentation att en utförd aktivitet initierats av att patienten påkallat hjälp. Avdelningslarm/signal: Personal som vill tillkalla annan personal. Ska inte kommuniceras till lösningen. Akutlarm på avdelning: Larm på enhet som kräver omedelbar handläggning. Om larmet gäller en patient (som .t.ex. blivit akut försämrad) ska larmet kommuniceras till Lösningen. Gaslarm: Larm från tryckvakten. Ska kommuniceras till Lösningen om en patient är påverkad av larmet, t.ex. plötsligt bortfall av syretillförsel, som på det sättet tidsstämplas. Brandlarm. Kommuniceras inte till Lösningen.",,,
412,uppmärksamhetsinformation,,,,,,,,,,,information (3.9.5) som avser något som avviker från det man normalt kan förvänta sig och som påverkar handläggningen av vård eller omsorg,,Klar,2019-12-10,Socialstyrelsens termbank,,,,
413,uppmärksamhetssignal,,,,,,,,,,,"notifikation (32.2.3.4) med synlig, hörbar eller med känseln förnimbar indikering

Alternativ definition     
synlig, hörbar eller med känseln förnimbar indikering som överför uppmärksamhetsinformation (Socialstyrelsens termbank)",,Klar,2019-12-10,FVM,,,,
414,journalhandling,,,,,,,,,,,"hälsojournal (12.2) som upprättas av hälso- och sjukvårdspersonal (5.2.3.3)

Alternativ definition    
handling som upprättas eller inkommer i samband med vården av en patient och som innehåller uppgifter om patientens hälsotillstånd eller andra personliga förhållanden eller om vidtagna eller planerade vårdåtgärder (Socialstyrelsens termbank)

Förklaring     
Journalhandling definieras som underbegrepp till hälsojournal för att harmonisera med Contsys. Därför används inte termbankens definition som inte motsägs av FVM definition. Ordet ""upprättas"" innebär att handlingen skrivs (matas in i systemet) eller mottas utifrån, valideras och klassas som journalhandling.  ",,Klar,2019-12-10,FVM,"Anmärkning 1     Begreppet motsvaras i Contsys av journalavsnitt (health record component). En journalhandling ska alltid signeras av hälso- och sjukvårdspersonal, i första hand den som upprättat journalhandlingen. Signeringen finns av tre typer: 
1) vidimering (vidi) som innebär att signeraren tagit del av innehållet men säger inget om huruvida detta föranleder åtgärd 
2) signering som styrker att den som signerar har upprättat journalhandlingen 
3) intygande som innebär att den som upprättat journalhandlingen försäkrar att dess innehåll är upprättarens mening 

Anmärkning 2     Dokumentation vid ett laboratorium utgör journalhandlingar, t.ex. inkommen remiss till radiologi med berättigandebedömning, övriga anteckningar samt remissvaret. 

Exempel 1     Provsvar, daganteckning, besöksanteckning, svar på undersökning, konsultfråga, konsultsvar, sjukintyg, läkarutlåtande, recept, ordination.",,,
415,sammanhållen journalföring,,,,,,,,,,,"elektroniskt system, som gör det möjligt för en vårdgivare (25.2.3.1.1) att ge eller få direktåtkomst till journalutdrag (12.5) hos en annan vårdgivare (25.2.3.1.1)",,Klar,2019-12-10,"Patientdatalagen (2008:355) 1 kap. 3 §, reviderad (lagens beskrivning omformulerad som terminologisk definition) ",,,,
416,hälsodataregister,,,,,,,,,,,register (23.9.2.1) omfattande utvald patientinformation avseende flera patienter (5.2.1),,,2019-12-10,,,,,
417,kontextstyrd vy,,,,,,,,,,,visuell presentation som är anpassad till visst sammanhang,,Klar,2019-12-10,FVM Std ,"Förklaring     En presentation på dataskärm, padda, telefon eller annat medium där sammanhanget styr presentationens utseende och innehåll. Begreppet inkluderar att vyn kan innehålla inmatningsfält så att interaktivitet kan uppnås. ",,,
418,remissvar,,,,,,,,,,,journalutdrag (12.5) som utgör svar på remiss (11.3.3),,Klar,2019-12-10,FVM,,,,
419,patientdokumentation att införas i patientjournal,,,,,,,,,,,icke validerad patientinformation (12.5.3.3) som efter validering av hälso- och sjukvårdspersonal (5.2.3.3) räknas som journalhandling (32.2.4),,Klar,2019-12-10,FVM efter text i 3R Contsys ,Anmärkning 1     Patientens eller närståendes/annan vårdares anteckning som valideras av hälso- och sjukvårdspersonal som kliniskt relevant och då jämställs med journalhandling och inkluderas i patientjournalen.,,,
420,epikris,,,,,,,,,,,klinisk rapport (12.5.3) innehållande sammanfattande information (3.9.5) om en hel vårdprocess (8.2) eller en del av den,,Klar,2019-12-10,FVM,"Anmärkning 1     Epikris skrivs klassiskt i slutet av ett vårdtillfälle. I kärnsystemet ska en sådan sammanfattning kunna upprättas när som helst i en process och redovisa öppen vård likaväl som sluten vård, en del av en vårdprocess som omfattar såväl öppen som sluten vård och, självklart, en hel avslutad vårdprocess.",,,
421,barriärbrott,,,,,,,,,,,[hälso- och sjukvård]penetration av hud eller annan del av kroppsytan i samband med hälso- och sjukvårdsaktivitet (7.2),,Klar,2019-12-10,FVM,,,,
